paper_id,title,year,source_collection,attachment_item_id,attachment_key,indexed_chars,total_pages,fulltext_chars,section_introduction,section_related_work,section_preliminaries,section_method,section_experiments,section_conclusion,signal_problem,signal_gap,signal_proposal,signal_contribution_list,signal_quantified_result,theorem_count,lemma_count,proposition_count,corollary_count,proof_count,assumption_count,complexity_signal_count,metric_quality,metric_latency,metric_throughput,metric_build,metric_update,metric_memory,signal_ablation,signal_sensitivity,signal_fairness,signal_reproducibility,baseline_mentions,speedup_mentions,percent_mentions,signal_tradeoff
1,Vector Databases: What's Really New and What's Next? (VLDB 2024 Panel),2024,ANN,235,UYXDK3IZ,0,2,9602,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,diskann,0,0,0
2,SingleStore-V: An Integrated Vector Database System in SingleStore,2024,SIGMOD/VLDB,236,GYHVH7AS,0,14,76724,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; spann; faiss,1,0,1
3,DET-LSH: A Locality-Sensitive Hashing Scheme with Dynamic Encoding Tree for Approximate Nearest Neighbor Search,2024,ANN,238,AWFI9YLE,0,14,74999,1,1,0,0,0,0,1,1,0,1,1,4,10,0,0,6,0,1,1,0,0,1,1,1,0,1,1,1,hnsw,11,0,1
4,Extensible and Robust Evaluation of Similarity Queries,2025,SIGMOD/VLDB,239,PXLN382C,0,15,98011,1,1,0,0,0,1,1,1,1,1,0,1,5,0,0,0,6,0,1,0,1,1,1,1,0,1,1,1,pq,0,0,0
5,Accelerating Approximate Nearest Neighbor Search in Hierarchical Graphs: Efficient Level Navigation with Shortcuts,2025,ANN,240,SHD5F3JS,0,13,73724,1,1,0,0,0,1,1,1,0,0,1,6,14,0,0,7,0,0,1,1,0,1,1,1,1,1,1,1,hnsw,1,0,0
6,Dynamic Range-Filtering Approximate Nearest Neighbor Search,2025,ANN,241,UKEUZQKE,0,15,91319,1,1,0,0,1,0,1,1,1,1,0,12,20,0,0,21,5,5,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; acorn,0,0,1
7,Wolverine: Highly Efficient Monotonic Search Path Repair for Graph-Based ANN Index Updates,2025,ANN,242,YQYIA5CN,0,13,78363,1,1,0,0,1,1,1,1,1,0,0,0,6,0,0,2,0,7,1,1,1,1,1,1,0,1,1,1,hnsw; diskann,0,0,1
8,Revisiting the Index Construction of Proximity Graph-Based Approximate Nearest Neighbor Search,2025,ANN,244,FU6SI9YR,0,16,87510,1,0,0,0,0,1,0,1,1,1,1,7,5,0,0,5,0,1,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; spann,38,0,1
9,Holistic Query Approximation via RL Modeling,2025,SIGMOD/VLDB,246,MXM7WDCT,0,14,86236,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,,1,0,1
10,Unleashing Graph Partitioning for Large-Scale Nearest Neighbor Search,2024,ANN,248,XDJ9HCCX,0,17,67930,1,0,0,0,0,1,1,1,0,0,1,7,1,0,0,5,1,15,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; spann; faiss,8,0,1
11,VStream: A Distributed Streaming Vector Search System,2025,ANN,249,RF89UHFX,0,14,80605,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; ivf-pq; pq; spann; faiss; knn-index,0,0,1
12,UNIFY: Unified Index for Range Filtered Approximate Nearest Neighbors Search,2025,ANN,251,KPSSW6R9,0,13,75449,1,1,0,1,1,1,1,1,1,1,0,3,3,0,0,1,2,11,1,1,1,1,1,1,0,1,0,1,hnsw; diskann; ivf-pq; ivf; pq; faiss,0,0,1
13,GTI: Graph-Based Tree Index with Logarithm Updates for Nearest Neighbor Search in High-Dimensional Spaces,2024,ANN,252,RQCJ5F6C,0,14,89805,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,0,0,1,1,1,0,1,1,1,hnsw; spann,0,0,1
14,Efficient Data-aware Distance Comparison Operations for High-Dimensional Approximate Nearest Neighbor Search,2024,ANN,254,2EH28JVP,0,10,54195,1,0,0,0,1,1,0,1,1,0,0,0,13,0,0,10,1,1,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; spann; faiss,0,0,1
15,Towards Sufficient GPU-Accelerated Dynamic Graph Management: Survey and Experiment,2024,ANN,256,KF38Z6SE,0,14,80402,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,1,1,1,,0,0,1
16,Cardinality Estimation for Similarity Search on High-Dimensional Data Objects: The Impact of Reference Objects,2024,SIGMOD/VLDB,257,YERBYFCP,0,13,81877,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,6,1,1,0,1,1,1,0,1,1,1,hnsw; faiss; acorn,12,0,1
17,CUTTANA: Scalable Graph Partitioning for Faster Distributed Graph Databases and Analytics,2024,SIGMOD/VLDB,259,99VPQGC7,0,33,74197,1,1,1,0,0,0,1,1,1,1,1,4,3,1,0,3,0,23,0,1,1,0,1,1,1,1,0,1,,1,0,1
19,Select Edges Wisely: Monotonic Path Aware Graph Layout Optimization for Disk-Based ANN Search,2025,ANN,263,LF337RE5,0,13,76059,1,1,0,0,0,1,1,1,1,1,0,2,9,0,0,6,2,4,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; pq; spann; faiss,0,0,1
20,Cracking Vector Search Indexes,2025,ANN,265,ID9YZX2T,0,14,86242,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; scann; spann; faiss,6,0,1
21,SVFusion: A CPU-GPU Co-Processing Architecture for Large-Scale Real-Time Vector Search,2026,ANN,268,ZA2QDK63,0,14,83249,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; scann; faiss,0,0,1
22,Elastic Index Selection for Label-Hybrid AKNN Search,2025,ANN,271,LPT46RGS,0,18,106998,1,1,0,0,1,1,0,1,1,0,1,3,5,0,0,6,1,2,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; acorn,0,6,1
23,A Topology-Aware Localized Update Strategy for Graph-Based ANN Index,2025,ANN,273,5CZ44NA2,0,14,86668,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,hnsw; diskann; ivf; spann; faiss; acorn,10,0,1
24,RED-ANNS: An RDMA-Enabled Distributed Framework for Graph-Based Approximate Nearest Neighbor Search,2025,ANN,274,RWWSIVZC,0,14,90578,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; pq; spann; faiss,0,0,1
25,ConANN: Conformal Approximate Nearest Neighbor Search,2025,ANN,234,SGD2LN89,0,14,82726,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,1,1,1,0,1,1,1,0,1,1,1,hnsw; ivf-pq; ivf; pq; faiss,2,0,0
26,Machine Learning for Graph Data Management and Query Processing,2025,ANN,276,57KCBP3F,0,5,28614,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,,0,0,0
27,"Cost-Effective, Low Latency Vector Search with Azure Cosmos DB",2025,ANN,278,HNG975Q4,0,18,94379,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; pq; scann; spann; faiss,4,0,0
28,VSAG: An Optimized Search Framework for Graph-based Approximate Nearest Neighbor Search,2025,ANN,280,J8UHVEDK,0,17,93891,1,1,0,0,0,1,1,1,1,1,1,11,0,0,0,7,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; scann; faiss; ten_t,3,0,1
